exact_score_accuracy,goal_mae,goal_difference_mae,outcome_accuracy,brier_score,log_loss,match_id,model
0,1.0,2,0,0.49140000000000006,0.843970070294529,M70,meta/llama-3.1-8b-instruct-fast
0,2.5,1,0,0.905,1.3862943611198906,M71,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.05544200000000002,0.1935847490726654,M72,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.7688,0.9675840262617056,M73,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.1458,0.31471074483970024,M74,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,1.0657999999999999,1.3093333199837622,M75,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.7688,0.9675840262617056,M76,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.7688,0.9675840262617056,M77,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.05780000000000002,0.18632957819149348,M78,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.1458,0.31471074483970024,M79,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.1458,0.31471074483970024,M80,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.1458,0.31471074483970024,M81,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.1458,0.31471074483970024,M82,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.1458,0.31471074483970024,M83,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,2.0,34.538776394910684,M84,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.2888,0.4780358009429998,M85,meta/llama-3.1-8b-instruct-fast
0,0.5,1,0,0.7688,0.9675840262617056,M86,meta/llama-3.1-8b-instruct-fast
0,1.5,1,1,0.009799999999999993,0.07257069283483537,M87,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.1458,0.31471074483970024,M88,meta/llama-3.1-8b-instruct-fast
0,1.5,3,1,0.3528,0.5447271754416722,M89,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.0,9.992007221626415e-16,M90,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,1.0657999999999999,1.3093333199837622,M91,meta/llama-3.1-8b-instruct-fast
0,2.0,2,0,0.7688,0.9675840262617056,M92,meta/llama-3.1-8b-instruct-fast
0,1.0,2,1,0.0,9.992007221626415e-16,M93,meta/llama-3.1-8b-instruct-fast
0,1.5,3,1,0.3528,0.5447271754416722,M94,meta/llama-3.1-8b-instruct-fast
0,1.0,0,1,0.1458,0.31471074483970024,M95,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.7688,0.9675840262617056,M96,meta/llama-3.1-8b-instruct-fast
0,0.5,1,1,0.1458,0.31471074483970024,M97,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.1458,0.31471074483970024,M98,meta/llama-3.1-8b-instruct-fast
1,0.0,0,1,0.3698,0.5621189181535413,M99,meta/llama-3.1-8b-instruct-fast
0,1.0,2,0,0.33499999999999996,0.5978370007556204,M01,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.4886000000000001,0.843970070294529,M02,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.7350000000000001,1.0498221244986778,M03,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.30499999999999994,0.5978370007556204,M04,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.6737999999999998,1.1086626245216111,M05,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.7350000000000001,1.0498221244986778,M06,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.6695999999999999,1.0788096613719298,M07,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.49140000000000006,0.843970070294529,M08,meta/llama-3.2-3b-instruct
0,3.0,6,0,0.33499999999999996,0.5978370007556204,M09,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.7350000000000001,1.0498221244986778,M10,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.045000000000000005,0.16251892949777494,M100,meta/llama-3.2-3b-instruct
0,1.0,2,1,1.4449999999999998,1.8971199848858813,M101,meta/llama-3.2-3b-instruct
0,1.0,0,1,1.9999999999999996,34.538776394910684,M102,meta/llama-3.2-3b-instruct
0,4.5,1,1,1.4449999999999998,1.8971199848858813,M103,meta/llama-3.2-3b-instruct
0,1.0,2,0,2.232595164407831e-32,9.992007221626415e-16,M104,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.33499999999999996,0.5978370007556204,M11,meta/llama-3.2-3b-instruct
0,2.0,4,0,0.49140000000000006,0.843970070294529,M12,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.7350000000000001,1.0498221244986778,M13,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.7350000000000001,1.0498221244986778,M14,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.6737999999999998,1.1086626245216111,M15,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.7350000000000001,1.0498221244986778,M16,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.33499999999999996,0.5978370007556204,M17,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.6913999999999999,1.1086626245216111,M18,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.33499999999999996,0.5978370007556204,M19,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.33499999999999996,0.5978370007556204,M20,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.7350000000000001,1.0498221244986778,M21,meta/llama-3.2-3b-instruct
0,2.0,2,0,0.33499999999999996,0.5978370007556204,M22,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.4886000000000001,0.843970070294529,M23,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.6338,1.0498221244986778,M24,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.8714,1.4271163556401458,M25,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.4886000000000001,0.843970070294529,M26,meta/llama-3.2-3b-instruct
0,3.0,6,0,0.33499999999999996,0.5978370007556204,M27,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.33499999999999996,0.5978370007556204,M28,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.33499999999999996,0.5978370007556204,M29,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.8286,1.3470736479666092,M30,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.30379999999999996,0.5978370007556204,M31,meta/llama-3.2-3b-instruct
0,0.5,1,0,1.235,2.3025850929940455,M32,meta/llama-3.2-3b-instruct
0,2.0,4,0,0.33499999999999996,0.5978370007556204,M33,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.2072,0.4462871026284195,M34,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.855,1.3862943611198906,M35,meta/llama-3.2-3b-instruct
0,2.0,4,0,0.6338,1.0498221244986778,M36,meta/llama-3.2-3b-instruct
0,2.0,4,0,0.33499999999999996,0.5978370007556204,M37,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.7350000000000001,1.0498221244986778,M38,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.8285999999999999,1.3470736479666092,M39,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.6338,1.0498221244986778,M40,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.2072,0.4462871026284195,M41,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.33499999999999996,0.5978370007556204,M42,meta/llama-3.2-3b-instruct
0,1.5,1,0,0.49140000000000006,0.843970070294529,M43,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.44060000000000005,0.7765287894989963,M44,meta/llama-3.2-3b-instruct
0,2.5,5,0,0.49140000000000006,0.843970070294529,M45,meta/llama-3.2-3b-instruct
0,1.0,0,1,0.7350000000000001,1.0498221244986778,M46,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.5064000000000001,0.8675005677047231,M47,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.49140000000000006,0.843970070294529,M48,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.4886000000000001,0.843970070294529,M49,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.45500000000000007,0.7985076962177716,M50,meta/llama-3.2-3b-instruct
0,2.0,2,0,0.33499999999999996,0.5978370007556204,M51,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.6913999999999999,1.1086626245216111,M52,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.6937999999999999,1.1394342831883648,M53,meta/llama-3.2-3b-instruct
0,1.5,3,0,0.6913999999999999,1.1086626245216111,M54,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.6338,1.0498221244986778,M55,meta/llama-3.2-3b-instruct
0,0.5,1,0,0.6937999999999999,1.1394342831883648,M56,meta/llama-3.2-3b-instruct
0,1.0,2,0,0.44060000000000005,0.7765287894989963,M57,meta/llama-3.2-3b-instruct
1,0.0,0,1,0.7350000000000001,1.0498221244986778,M58,meta/llama-3.2-3b-instruct
0,1.5,1,0,0.49140000000000006,0.843970070294529,M59,meta/llama-3.2-3b-instruct
